model,stim,condition,fidelity,corrected,greedy_is_canonical,prompt_tokens
gpt2-medium,lords,neutral,0.1566,1,1,30
gpt2-medium,lords,exact,0.4134,1,1,51
gpt2-medium,lords,fix,0.4657,1,1,46
gpt2-medium,lords,clutter,0.3112,1,1,68
gpt2-medium,lords,recite,0.0189,1,1,43
gpt2-medium,alphabet,neutral,0.9998,0,0,39
gpt2-medium,alphabet,exact,0.9995,0,0,60
gpt2-medium,alphabet,fix,0.9996,0,0,55
gpt2-medium,alphabet,clutter,0.9999,0,0,77
gpt2-medium,alphabet,recite,0.9998,0,0,52
gpt2-medium,gettysburg,neutral,0.9844,0,0,26
gpt2-medium,gettysburg,exact,0.9977,0,0,47
gpt2-medium,gettysburg,fix,0.9952,0,0,42
gpt2-medium,gettysburg,clutter,0.9968,0,0,64
gpt2-medium,gettysburg,recite,0.996,0,0,39
gpt2-large,pi,neutral,0.9823,0,0,34
gpt2-large,pi,exact,0.994,0,0,55
gpt2-large,pi,fix,0.9683,0,0,50
gpt2-large,pi,clutter,0.998,0,0,72
gpt2-large,pi,recite,0.9845,0,0,47
gpt2-large,e,neutral,0.9978,0,0,32
gpt2-large,e,exact,0.9979,0,0,53
gpt2-large,e,fix,0.9942,0,0,48
gpt2-large,e,clutter,0.9996,0,0,70
gpt2-large,e,recite,0.999,0,0,45
gpt2-large,fib,neutral,0.9931,0,0,52
gpt2-large,fib,exact,0.996,0,0,73
gpt2-large,fib,fix,0.9923,0,0,68
gpt2-large,fib,clutter,0.9985,0,0,90
gpt2-large,fib,recite,0.9927,0,0,65
gpt2-large,sonnet18,neutral,0.6216,0,0,32
gpt2-large,sonnet18,exact,0.9712,0,0,53
gpt2-large,sonnet18,fix,0.7915,0,0,48
gpt2-large,sonnet18,clutter,0.9821,0,0,70
gpt2-large,sonnet18,recite,0.6463,0,0,45
gpt2-large,sonnet18b,neutral,1.0,0,0,41
gpt2-large,sonnet18b,exact,1.0,0,0,62
gpt2-large,sonnet18b,fix,1.0,0,0,57
gpt2-large,sonnet18b,clutter,1.0,0,0,79
gpt2-large,sonnet18b,recite,1.0,0,0,54
gpt2-large,hamlet,neutral,0.8835,0,0,30
gpt2-large,hamlet,exact,0.9432,0,0,51
gpt2-large,hamlet,fix,0.9522,0,0,46
gpt2-large,hamlet,clutter,0.7911,0,0,68
gpt2-large,hamlet,recite,0.9344,0,0,43
gpt2-large,genesis,neutral,0.8595,0,0,23
gpt2-large,genesis,exact,0.9441,0,0,44
gpt2-large,genesis,fix,0.9279,0,0,39
gpt2-large,genesis,clutter,0.9271,0,0,61
gpt2-large,genesis,recite,0.945,0,0,36
gpt2-large,twinkle,neutral,0.995,0,0,29
gpt2-large,twinkle,exact,0.9993,0,0,50
gpt2-large,twinkle,fix,0.9965,0,0,45
gpt2-large,twinkle,clutter,0.9995,0,0,67
gpt2-large,twinkle,recite,0.9971,0,0,42
gpt2-large,lords,neutral,0.009,1,1,30
gpt2-large,lords,exact,0.1553,1,1,51
gpt2-large,lords,fix,0.0853,1,1,46
gpt2-large,lords,clutter,0.0313,1,1,68
gpt2-large,lords,recite,0.0906,1,1,43
gpt2-large,alphabet,neutral,0.9886,0,0,39
gpt2-large,alphabet,exact,0.9818,0,0,60
gpt2-large,alphabet,fix,0.9555,0,0,55
gpt2-large,alphabet,clutter,0.9991,0,0,77
gpt2-large,alphabet,recite,0.9949,0,0,52
gpt2-large,gettysburg,neutral,0.9992,0,0,26
gpt2-large,gettysburg,exact,0.9996,0,0,47
gpt2-large,gettysburg,fix,0.9921,0,0,42
gpt2-large,gettysburg,clutter,0.9992,0,0,64
gpt2-large,gettysburg,recite,0.997,0,0,39
